Repton School Dubai	headmasterspa@reptondubai.org
Dubai College	headsec@dubaicollege.org
Swiss International Scientific School	info@sisd.ae
Jumeirah English Speaking School	Headteacherjumeirah@jess.sch.ae
King's School Dubai	principal@kingsdubai.com
American School of Dubai	superintendent@asdubai.org
Nord Anglia International School	communications@nasdubai.ae
The Indian High School	indiansc@emirates.net.ae
Deira International School	info@disdubai.ae
Dubai International Academy	admissions@diadubai.com
Uptown International School	admissions@uptownschool.ae
The Millennium School	ambika.g_tms@gemsedu.com
Dubai British School	info@dubaibritishschool.ae
Brighton College Dubai	admissions@brightoncollegedubai.ae
Dubai English Speaking School	dess@dessc.sch.ae
Jebel Ali School	jaschool@jebelalischool.org
Jumeirah College	principal_jcd@gemsedu.com
Collegiate School Dubai	admissions@cisdubai.com
Royal Grammar School Guildford in Dubai	info@rgsgdubai.com
Swiss International Scientific School Dubai	info@sisd.ae
Horizon English School	principal@horizonschooldubai.com
Queen Elizabeth's School, Barnet	enquiries@qebarnet.co.uk
The Henrietta Barnett School	office@hbschool.org.uk
St Olave's Grammar School	office@saintolaves.net
Wilson's School	office@wilsonsschool.sutton.sch.uk
Pate's Grammar School	office@patesgs.org
Westminster School	enquiries@westminster.org.uk
King's College School Wimbledon	reception@kcs.org.uk
St Paul's Girls' School	frontoffice@spgs.org
Guildford High School	guildford-office@guildfordhigh.co.uk
Wycombe Abbey School	admissions@wycombeabbey.com
Brighton College	collegeadmissions@brightoncollege.net
St Paul's School	enquiries@stpaulsce.lbhf.sch.uk
Eton College	admissions@etoncollege.org.uk
Winchester College	admissions@wincoll.ac.uk
North London Collegiate School	office@nlcs.org.uk
Upper Canada College	inquiry@ucc.on.ca
Branksome Hall	info@branksome.on.ca
St. Michael's University School	senior_info@smus.ca
Toronto French School	admissions@tfs.ca
Brentwood College School	info@brentwood.bc.ca
Old Scona Academic High School	oldscona@epsb.ca
Vincent Massey Secondary School	vmss@publicboard.ca
Lisgar Collegiate Institute	lisgarci@ocdsb.ca
Unionville High School	unionville.hs@yrdsb.ca
York House School	info@yorkhouse.ca
UWC Atlantic	enquiries@uwcatlantic.org
Pearson College UWC	info@pearsoncollege.ca
UWC South East Asia	admissionsdover@uwcsea.edu.sg
Waterford Kamhlaba UWC of Southern Africa	principal@waterford.sz
UWC-USA	john.carpenter@uwc-usa.or
UWC Adriatic	uwcad@uwcad.it
Li Po Chun UWC of Hong Kong	office@lpcuwc.edu.hk
UWC Red Cross Nordic	info@uwcrcn.no
UWC Mahindra College	info@muwci.net
UWC Costa Rica	info@uwccostarica.org
UWC Mostar	info@uwcmostar.ba
UWC Maastricht	info@uwcmaastricht.nl
UWC Robert Bosch College	kontakt@uwcrobertboschcollege.de
UWC Dilijan	welcome@uwcdilijan.am
UWC Changshu China	info@uwcchina.org
American Overseas School of Rome	admissions@aosr.org
Marymount International School Rome	admissions@marymountrome.com
St. Stephen's School	admissions@sssrome.it
Ambrit International School	admissions@ambrit-rome.com
American School of Milan	admissions@asmilan.org
International School of Milan	info@ism-italy.com
The British School of Milan	admissions@britishschoolmilan.it
St Louis School of Milan	admissions@stlouisschool.com
Rome International School	admissions@romeinternationalschool.it
International School of Florence	admissions@isfitaly.org
H-FARM International School	info.vi@h-is.com
World International School of Torino	info@winschool.eu
Seoul Foreign School	admissions@sfs.org
Dulwich College Seoul	admissions@dulwich.kr
Yongsan International School of Seoul	admissions@yiss.org
Korea International School	admissions@kis.or.kr
Dwight School Seoul	admissions@dwight.or.kr
Branksome Hall Asia	admissions@branksome.asia
North London Collegiate School Jeju	admissions@nlcsjeju.kr
Chadwick International School	admissions@chadwickinternational.org
Seoul International School	admissions@siskorea.org
